campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,ctr_pct,conversion_rate_pct
548299,New User Discount,2024-11-05,Premium,App,3130,163,78,1431.85,4777.75,3.6,5.207667731629393,47.85276073619632
390914,Weekend Special,2024-11-05,Inactive,App,3925,494,45,4506.34,6238.11,2.98,12.585987261146498,9.109311740890687
834385,Festival Offer,2024-11-05,Inactive,Email,7012,370,78,4524.23,2621.0,2.95,5.276668568168853,21.08108108108108
241523,Flash Sale,2024-11-05,Inactive,SMS,1115,579,86,3622.79,2955.0,2.84,51.92825112107623,14.853195164075995
595111,Membership Drive,2024-11-05,New Users,Email,7172,795,54,2888.99,8951.81,2.22,11.084774121583937,6.7924528301886795
176344,Category Promotion,2024-11-05,Inactive,App,4333,421,40,2714.78,6697.88,3.89,9.716132010154627,9.501187648456057
875646,App Push Notification,2024-11-05,Premium,Email,4752,937,21,3584.76,9152.99,2.14,19.718013468013467,2.2411953041622197
5516,Email Campaign,2024-11-05,Premium,Social Media,1559,418,68,1457.88,2156.09,3.92,26.8120590121873,16.267942583732058
989534,Referral Program,2024-11-05,New Users,SMS,3838,911,45,4808.64,8074.17,1.7,23.736321000521105,4.939626783754116
243346,New User Discount,2024-11-04,Inactive,SMS,6289,834,14,3746.35,4474.02,2.56,13.261249801240261,1.6786570743405276
775791,Weekend Special,2024-11-04,Inactive,App,1068,496,87,1043.7,9535.85,3.15,46.441947565543074,17.540322580645164
178345,Festival Offer,2024-11-04,Inactive,Social Media,4229,914,84,1370.63,3521.16,1.65,21.61267439110901,9.190371991247265
60966,Flash Sale,2024-11-04,Inactive,App,2712,161,89,4870.23,2626.78,2.03,5.936578171091445,55.27950310559007
209071,Membership Drive,2024-11-04,New Users,Social Media,9365,753,53,3817.01,7072.56,1.55,8.04057661505606,7.03851261620186
712164,Category Promotion,2024-11-04,All,App,4813,321,88,2512.51,6494.09,2.55,6.669436941616455,27.41433021806853
301304,App Push Notification,2024-11-04,Inactive,Social Media,8840,466,24,1776.92,5356.59,3.17,5.271493212669683,5.150214592274678
755362,Email Campaign,2024-11-04,Inactive,App,7409,949,99,1599.21,7907.75,1.93,12.808746119584288,10.432033719704952
362255,Referral Program,2024-11-04,Premium,SMS,1997,599,92,3328.47,2278.39,3.09,29.994992488733104,15.358931552587645
538453,New User Discount,2024-11-03,New Users,Social Media,9594,692,58,3712.46,2591.79,3.01,7.212841359182823,8.38150289017341
146888,Weekend Special,2024-11-03,New Users,Email,8974,799,64,4907.38,9623.97,2.36,8.90349899710274,8.010012515644556
36202,Festival Offer,2024-11-03,New Users,Email,7102,858,53,1454.23,8523.27,2.87,12.081103914390312,6.177156177156177
232494,Flash Sale,2024-11-03,All,Social Media,9487,109,54,1364.19,5855.87,1.61,1.1489406556340256,49.54128440366973
757108,Membership Drive,2024-11-03,Inactive,Email,5922,258,41,1815.23,9798.33,2.73,4.356636271529888,15.891472868217054
294530,Category Promotion,2024-11-03,All,App,4630,860,76,4337.91,3326.76,1.86,18.57451403887689,8.837209302325581
627085,App Push Notification,2024-11-03,All,Email,6291,130,66,4644.01,2649.48,3.23,2.0664441265299636,50.76923076923077
954798,Email Campaign,2024-11-03,All,Email,6347,737,100,2352.91,5816.29,3.0,11.611785095320624,13.568521031207597
675313,Referral Program,2024-11-03,New Users,Email,2465,560,60,4857.36,2528.08,1.62,22.718052738336713,10.714285714285714
588949,New User Discount,2024-11-02,Premium,App,7171,211,22,3120.88,8989.36,3.51,2.9424069167480127,10.42654028436019
137874,Weekend Special,2024-11-02,All,App,6082,497,59,1897.04,3654.1,1.95,8.17165406116409,11.87122736418511
674904,Festival Offer,2024-11-02,New Users,Social Media,3297,613,19,3819.45,2007.51,3.75,18.59265999393388,3.0995106035889073
783220,Flash Sale,2024-11-02,Inactive,App,5550,633,12,1947.14,3460.9,2.75,11.405405405405405,1.8957345971563981
877083,Membership Drive,2024-11-02,Premium,SMS,3446,155,51,3415.84,8018.45,3.18,4.4979686593151476,32.903225806451616
228966,Category Promotion,2024-11-02,Premium,SMS,8998,632,55,4905.7,8801.61,3.79,7.023783062902868,8.702531645569621
531307,App Push Notification,2024-11-02,All,App,7562,975,73,2298.76,7097.94,1.8,12.893414440624174,7.487179487179488
51098,Email Campaign,2024-11-02,New Users,SMS,1423,802,40,1818.73,4672.26,3.83,56.35980323260716,4.987531172069826
501568,Referral Program,2024-11-02,Premium,Email,7215,508,25,2202.62,3845.1,1.84,7.040887040887041,4.921259842519685
703072,New User Discount,2024-11-01,All,App,4360,724,38,1905.02,4231.84,3.01,16.605504587155963,5.248618784530387
